15:28:18.875 [main] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=192.168.2.249:12181 sessionTimeout=60000 watcher=org.I0Itec.zkclient.ZkClient@23037aeb
15:28:18.896 [main-SendThread(192.168.2.249:12181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 192.168.2.249/192.168.2.249:12181. Will not attempt to authenticate using SASL (unknown error)
15:28:18.898 [main-SendThread(192.168.2.249:12181)] INFO  org.apache.zookeeper.ClientCnxn - Socket connection established to 192.168.2.249/192.168.2.249:12181, initiating session
15:28:18.908 [main-SendThread(192.168.2.249:12181)] INFO  org.apache.zookeeper.ClientCnxn - Session establishment complete on server 192.168.2.249/192.168.2.249:12181, sessionid = 0x1584cbb799a08bb, negotiated timeout = 40000
15:28:19.622 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - accumulate-service-user
15:28:19.622 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - accumulate-service-user
15:28:19.623 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - context = org.springframework.context.support.ClassPathXmlApplicationContext@1209fa55: startup date [Fri Nov 25 15:28:15 CST 2016]; root of context hierarchy
15:28:19.623 [main] INFO  com.guwr.accumulate.service.user.DubboProvider - context = org.springframework.context.support.ClassPathXmlApplicationContext@1209fa55: startup date [Fri Nov 25 15:28:15 CST 2016]; root of context hierarchy
15:29:36.294 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - UserInfoFacade.findOne
15:29:36.294 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - UserInfoFacade.findOne
15:29:36.294 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - id = 2
15:29:36.294 [DubboServerHandler-172.30.26.254:20812-thread-2] INFO  c.g.accumulate.service.user.facade.UserInfoFacade - id = 2
15:29:36.979 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.service.user.facade.UserProductLevelFacade - UserProductLevelFacade.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"uid":2,"uuid":null}]
15:29:36.979 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.service.user.facade.UserProductLevelFacade - UserProductLevelFacade.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"uid":2,"uuid":null}]
15:29:36.979 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductLevelService - UserProductLevelService.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"uid":2,"uuid":null}]
15:29:36.979 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductLevelService - UserProductLevelService.findUserProductLevelByIn.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"pid":null,"uid":2,"uuid":null}]
15:29:36.982 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"uid":2}]
15:29:36.982 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.info = [{"id":null,"invest":100,"numPerPage":15,"pageNum":1,"uid":2}]
15:29:37.103 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.userProductInvest = {"createTime":1479811206000,"id":4,"totalInvest":129645.00,"uid":2,"updateTime":1479977081000,"userType":0,"version":17}
15:29:37.103 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.service.impl.UserProductInvestService - UserProductInvestService.changeInInvest.userProductInvest = {"createTime":1479811206000,"id":4,"totalInvest":129645.00,"uid":2,"updateTime":1479977081000,"userType":0,"version":17}
15:29:37.175 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.s.impl.UserProductInvestLogService - UserProductInvestLogService.save.entity = [{"afterTotalInvest":129745.00,"beforTotalInvest":129645.00,"createTime":1480058976982,"id":null,"investMoney":100,"investType":2,"pid":4,"updateTime":1480058976982,"uuid":"3ea2c24f570b4767abb9f68e00ae9774"}]
15:29:37.175 [DubboServerHandler-172.30.26.254:20812-thread-3] INFO  c.g.a.s.u.c.s.impl.UserProductInvestLogService - UserProductInvestLogService.save.entity = [{"afterTotalInvest":129745.00,"beforTotalInvest":129645.00,"createTime":1480058976982,"id":null,"investMoney":100,"investType":2,"pid":4,"updateTime":1480058976982,"uuid":"3ea2c24f570b4767abb9f68e00ae9774"}]
15:29:37.291 [DubboServerHandler-172.30.26.254:20812-thread-4] INFO  c.g.a.s.user.facade.UserProductEarningsFacade - UserProductEarningsFacade.findOneByUidPidLid.uid = [2], pid = [2], lid = [2]
15:29:37.291 [DubboServerHandler-172.30.26.254:20812-thread-4] INFO  c.g.a.s.user.facade.UserProductEarningsFacade - UserProductEarningsFacade.findOneByUidPidLid.uid = [2], pid = [2], lid = [2]
